start_scats,end_scats,distance_km
970,2000,1.7857
970,2846,2.6947
970,3682,3.0965
970,3804,3.5508
2000,3682,1.4393
2000,970,1.7857
2000,3685,1.7857
2000,3126,2.5682
2820,4335,1.3014
2820,3662,1.5533
2820,4321,1.7329
2820,4324,2.0517
2825,4030,0.9935
2825,4051,1.1965
2825,3180,1.269
2825,2827,1.5925
2827,2825,1.5925
2827,4051,1.6423
2827,3180,1.6559
2827,4030,2.0091
2846,4043,1.8164
2846,4273,2.2845
2846,3812,2.6712
2846,970,2.6947
2846,3685,2.6947
3001,3002,0.4044
3001,3662,0.838
3001,4263,0.9527
3001,4335,1.1101
3001,4264,1.134
3001,4324,1.3357
3002,3001,0.4044
3002,3662,0.6513
3002,4263,0.9418
3002,4335,1.1802
3002,4262,1.2614
3002,4821,1.6109
3120,4035,0.549
3120,3122,0.6384
3120,4040,1.1437
3120,4034,1.2134
3120,4266,1.2491
3120,3127,1.8345
3122,3120,0.6384
3122,4035,0.8971
3122,3127,1.2035
3122,4040,1.2316
3122,3804,1.601
3122,4063,2.1929
3126,3682,1.1313
3126,4063,2.1967
3126,3127,2.4115
3126,2000,2.5682
3127,3804,1.1474
3127,3122,1.2035
3127,4063,1.3394
3127,3120,1.8345
3127,3126,2.4115
3127,3682,2.8386
3180,4051,0.0749
3180,4030,0.6375
3180,4032,1.1589
3180,2825,1.269
3180,4057,1.6
3180,2827,1.6559
3662,3002,0.6513
3662,4335,0.7206
3662,3001,0.838
3662,4324,1.4978
3662,2820,1.5533
3662,4821,1.7446
3682,3126,1.1313
3682,2000,1.4393
3682,3804,2.6241
3682,3127,2.8386
3682,970,3.0965
3682,3685,3.0965
3685,2000,1.7857
3685,2846,2.6947
3685,3682,3.0965
3685,3804,3.5508
3804,3127,1.1474
3804,3812,1.393
3804,3122,1.601
3804,4040,1.8104
3804,3682,2.6241
3804,970,3.5508
3804,3685,3.5508
3812,4040,0.6993
3812,4043,1.2173
3812,4272,1.3528
3812,3804,1.393
3812,4273,1.7623
3812,2846,2.6712
4030,4051,0.5792
4030,3180,0.6375
4030,4032,0.8994
4030,2825,0.9935
4030,4321,1.396
4030,2827,2.0091
4032,4030,0.8994
4032,4321,1.0467
4032,4034,1.0771
4032,4051,1.1575
4032,3180,1.1589
4032,4057,1.8695
4034,4035,0.6644
4034,4032,1.0771
4034,3120,1.2134
4034,4324,1.321
4035,3120,0.549
4035,4034,0.6644
4035,3122,0.8971
4035,4324,1.4644
4040,3812,0.6993
4040,4272,0.7784
4040,3120,1.1437
4040,3122,1.2316
4040,4043,1.6042
4040,3804,1.8104
4043,4273,0.7919
4043,3812,1.2173
4043,4040,1.6042
4043,4272,1.7494
4043,2846,1.8164
4051,3180,0.0749
4051,4030,0.5792
4051,4032,1.1575
4051,2825,1.1965
4051,2827,1.6423
4051,4057,1.6739
4057,4063,1.1899
4057,3180,1.6
4057,4051,1.6739
4057,4032,1.8695
4063,4057,1.1899
4063,3127,1.3394
4063,3122,2.1929
4063,3126,2.1967
4262,4263,0.8714
4262,4812,0.9156
4262,4821,1.1221
4262,3002,1.2614
4263,4264,0.8196
4263,4262,0.8714
4263,3002,0.9418
4263,3001,0.9527
4263,4270,1.4101
4263,4812,1.4419
4264,4270,0.6671
4264,4263,0.8196
4264,4266,0.8626
4264,3001,1.134
4264,4272,1.3241
4264,4812,2.0731
4266,4272,0.8111
4266,4270,0.8313
4266,4264,0.8626
4266,3120,1.2491
4270,4264,0.6671
4270,4272,0.799
4270,4266,0.8313
4270,4263,1.4101
4270,4273,1.8408
4272,4040,0.7784
4272,4270,0.799
4272,4266,0.8111
4272,4264,1.3241
4272,3812,1.3528
4272,4273,1.6646
4272,4043,1.7494
4273,4043,0.7919
4273,4272,1.6646
4273,3812,1.7623
4273,4270,1.8408
4273,2846,2.2845
4321,4032,1.0467
4321,4324,1.125
4321,4335,1.3942
4321,4030,1.396
4321,2820,1.7329
4324,4335,0.9264
4324,4321,1.125
4324,4034,1.321
4324,3001,1.3357
4324,4035,1.4644
4324,3662,1.4978
4324,2820,2.0517
4335,3662,0.7206
4335,4324,0.9264
4335,3001,1.1101
4335,3002,1.1802
4335,2820,1.3014
4335,4321,1.3942
4812,4262,0.9156
4812,4263,1.4419
4812,4821,1.7619
4812,4264,2.0731
4821,4262,1.1221
4821,3002,1.6109
4821,3662,1.7446
4821,4812,1.7619
